Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Forlani,Alberto Forlani,-24629,Real Calepina,Real Calepina,https://cdn5.wyscout.com/photos/team/public/g-12907_120x120.png,Serie D - Girone B,"LCMF, DMF",LCMF,56,DMF,27,,0,28.0,1997-12-02,75000,2026-06-30,30,2847,3,5.26,4,1.72,11.46,53.56,Italy,['Italy'],right,0,0,False,7.15,5.42,65.06,1.6600000000000001,47.06,0.0,0.0,0.29,3.62,5.37,0.9500000000000001,4,0.13,0,0.0,1.24,0.09,3,0.1,0.17,0,0.0,58,1.8900000000000001,25.86,5.172,0.13,0.9500000000000001,51.72,0.65,50.0,0.26,62.5,0.07,0.78,33.33,2.84,41.38,1.08,0.33,0.03,30.23,0.42,0.85,43.29,82.73,13.06,66.0,4.9,96.0,36.43,88.44,5.91,52.49,21.6,38.09,0.06,0.78,0.0,0.0,0.03,0.0,0.23,7.34,67.11,1.6,42.86,0.33,30.0,0.36,0.46,7.02,73.49,89.18,21.12,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.6600000000000001,0.6900000000000001,0.23,14.29,0.42,0,0.0
M. Moretta,Manuel Moretta,-159245,Real Calepina,Real Calepina,https://cdn5.wyscout.com/photos/team/public/g-12907_120x120.png,Serie D - Girone B,GK,GK,100,,0,,0,20.0,2006-01-15,0,2026-06-30,29,2803,0,0.0,0,0.0,1.09,75.76,Italy,['Italy'],,0,0,False,1.3599999999999999,0.1,66.67,0.66,75.0,0.0,0.0,0.0,1.29,1.94,0.07,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,83.33,0.0,0.03,0.0,12.31,0.23,0.4,21.7,85.17,14.17,79.39,0.0,0.0,14.5,95.19,7.13,65.58,29.97,45.67,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.02,54.1,0.13,25.0,0.17,0.0,0.0,0.0,5.27,68.55,95.92,6.5,39,1.29,112,3.7199999999999998,8,65.18,31.01,1.03,-7.99,-0.265,0.0,1.46,0.66,,,,0.0,0,0.0
M. Lucenti,Matteo Lucenti,170601,Virtus CiseranoBergamo,Virtus CiseranoBergamo,https://cdn5.wyscout.com/photos/team/public/g-11061_120x120.png,Serie D - Girone B,CB,CB,89,,0,,0,33.0,1992-08-04,50000,2026-06-30,29,2791,0,1.85,0,0.26,7.45,54.55,Italy,['Italy'],right,185,80,False,7.09,3.42,65.09,1.71,30.19,0.23,0.29,0.68,4.64,6.04,0.45,4,0.13,0,0.0,0.23,0.0,0,0.0,0.06,0,0.0,13,0.42,30.77,0.0,0.0,0.16,20.0,0.0,0.0,0.16,20.0,0.1,0.06,100.0,0.87,55.56,0.61,0.81,0.0,29.54,0.42,0.52,49.47,88.4,19.96,79.0,2.42,92.0,41.66,93.73,7.64,60.76,22.05,37.22,0.01,0.1,0.0,0.03,0.0,0.0,0.06,5.22,65.43,0.61,26.32,0.32,20.0,0.19,0.03,9.0,65.59,96.09,23.89,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,1.71,0.03,0.03,100.0,0.0,1,0.0
M. Brero,Matteo Brero,-48306,Real Calepina,Real Calepina,https://cdn5.wyscout.com/photos/team/public/g-12907_120x120.png,Serie D - Girone B,CB,CB,96,,0,,0,28.0,1997-05-05,75000,2026-06-30,29,2787,2,1.72,1,0.8,14.92,64.65,Italy,['Italy'],right,190,74,False,9.48,5.01,68.67,7.34,69.09,0.2,0.30000000000000004,0.87,5.84,8.63,1.03,8,0.26,0,0.0,0.17,0.06,2,0.07,0.06,2,0.07,11,0.37,27.27,18.182,0.03,0.23,14.29,0.03,100.0,0.2,0.0,0.0,0.07,50.0,0.77,39.13,0.67,0.67,0.03,22.66,0.30000000000000004,0.4,39.24,84.61,19.35,76.38,1.57,95.74,32.14,89.93,6.87,62.14,23.49,38.8,0.03,0.17,0.03,0.0,0.0,0.0,0.07,5.61,70.83,0.77,30.43,0.33,30.0,0.30000000000000004,0.07,9.91,72.73,94.0,15.58,0,,0,,0,0.0,0.0,0.0,,,1.27,,7.34,0.0,0.0,0.0,0.0,0,0.0
N. Lancini,Nicola Lancini,250990,Villa Valle,Villa Valle,https://cdn5.wyscout.com/photos/team/public/g-5108_120x120.png,Serie D - Girone B,"LB, LCB3",LB,73,LCB3,12,,0,32.0,1994-03-29,50000,2026-06-30,28,2706,5,2.56,2,3.31,16.56,55.22,Italy,['Italy'],left,177,70,False,7.88,4.79,67.36,3.92,56.78,0.4,0.59,0.17,4.26,6.26,1.5,6,0.2,0,0.0,3.86,0.17,5,0.17,0.09,3,0.1,21,0.7000000000000001,57.14,23.81,0.07,4.36,38.93,4.29,38.76,0.03,100.0,0.7000000000000001,2.43,72.6,4.62,56.12,1.76,2.13,0.30000000000000004,29.67,3.92,1.26,43.77,72.57,22.68,69.65,3.49,87.62,29.8,81.14,9.98,61.33,23.84,36.94,0.11,0.86,0.0,0.0,0.0,0.0,0.47000000000000003,8.78,66.29,4.22,48.82,0.93,25.0,0.86,1.6,15.0,80.27,77.78,13.47,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.92,0.03,0.0,0.0,0.0,0,0.0
M. Taramelli,Marco Taramelli,-319881,Brusaporto,Brusaporto,https://cdn5.wyscout.com/photos/team/public/g36942_120x120.png,Serie D - Girone B,GK,GK,100,,0,,0,19.0,2006-12-02,0,2026-06-30,28,2675,0,0.0,0,0.0,0.4,75.0,Italy,['Italy'],,0,0,True,1.01,0.03,0.0,0.17,100.0,0.03,0.05,0.0,0.98,1.3599999999999999,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,11.2,0.34,0.07,19.24,87.06,8.21,72.95,0.03,100.0,13.76,98.53,5.45,58.64,27.65,43.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,41.67,0.03,0.0,0.03,0.0,0.0,0.0,4.0,62.18,97.95,9.86,33,1.11,109,3.67,5,69.72,25.5,0.86,-7.5,-0.252,0.03,1.01,0.17,,,,0.0,0,0.0
P. Scalmana,Paolo Scalmana,-144777,Real Calepina,Real Calepina,https://cdn5.wyscout.com/photos/team/public/g-12907_120x120.png,Serie D - Girone B,"RCMF, RCMF3",RCMF,50,RCMF3,33,,0,22.0,2004-01-25,0,2026-06-30,28,2658,3,1.6099999999999999,1,1.87,18.08,49.06,Italy,['Italy'],,0,0,False,9.21,6.23,65.22,3.69,36.7,0.07,0.1,0.34,5.08,7.61,1.15,3,0.1,0,0.0,1.32,0.1,3,0.1,0.05,0,0.0,21,0.71,28.57,14.286,0.03,0.81,58.33,0.27,50.0,0.54,62.5,0.03,1.22,52.78,5.76,42.94,1.32,1.32,0.27,25.4,0.81,1.79,38.57,83.58,12.49,67.21,5.11,95.36,34.44,86.63,3.35,58.59,18.96,34.87,0.06,0.88,0.0,0.0,0.03,0.0,0.30000000000000004,5.62,76.51,1.6600000000000001,55.1,0.34,20.0,0.91,0.37,6.94,68.29,92.99,15.95,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.69,0.0,0.0,0.0,0.0,0,0.0
R. Tosi,Riccardo Tosi,-46785,ChievoVerona,ChievoVerona,https://cdn5.wyscout.com/photos/team/public/g-20139_120x120.png,Serie D - Girone B,GK,GK,100,,0,,0,26.0,1999-12-27,50000,2026-06-30,27,2627,0,0.0,0,0.0,0.79,69.57,Italy,['Italy'],right,188,80,False,1.1,0.1,33.33,0.41000000000000003,100.0,0.0,0.0,0.0,1.06,1.51,0.07,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,20.0,0.0,0.0,0.03,11.31,0.14,0.21,20.93,83.47,10.93,71.16,0.0,0.0,12.61,98.91,8.29,60.33,33.61,52.61,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4.15,57.02,0.14,25.0,0.17,80.0,0.0,0.0,5.65,76.97,97.23,8.67,37,1.27,116,3.9699999999999998,10,68.1,33.3,1.1400000000000001,-3.7,-0.127,0.0,1.6800000000000002,0.41000000000000003,,,,0.0,0,0.0
A. Grasso,Andrea Grasso,-292823,Breno,Breno,https://cdn5.wyscout.com/photos/team/public/g-10712_120x120.png,Serie D - Girone B,GK,GK,100,,0,,0,19.0,2006-08-01,0,2026-06-30,27,2602,0,0.0,0,0.0,0.48,78.57,Italy,['Italy'],,185,0,False,1.07,0.14,50.0,0.24,100.0,0.07,0.1,0.0,0.93,1.3,0.07,3,0.1,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.1,66.67,0.0,0.0,0.0,10.69,0.21,0.1,20.1,81.24,10.27,68.35,0.0,0.0,13.32,96.88,6.71,51.03,29.77,47.11,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.5899999999999999,30.43,0.0,0.0,0.03,0.0,0.0,0.0,4.43,61.72,95.53,8.51,42,1.45,137,4.74,4,69.34,39.18,1.3599999999999999,-2.8200000000000003,-0.098,0.0,1.45,0.24,,,,0.0,0,0.0
R. Ravasi,Riccardo Ravasi,243067,Villa Valle,Villa Valle,https://cdn5.wyscout.com/photos/team/public/g-5108_120x120.png,Serie D - Girone B,CF,CF,86,,0,,0,31.0,1994-12-09,75000,2026-06-30,28,2585,8,9.05,3,1.3599999999999999,29.59,35.88,Italy,['Italy'],right,182,76,False,4.39,5.01,61.81,7.21,34.3,0.07,0.1,0.14,1.22,1.79,2.79,2,0.07,0,0.0,2.23,0.28,7,0.24,0.32,5,0.17,78,2.7199999999999998,33.33,10.256,0.1,0.73,42.86,0.24,14.29,0.49,57.14,0.1,1.6,63.04,11.14,27.5,4.42,0.52,0.03,8.01,2.51,1.57,12.81,68.21,2.61,56.0,3.62,82.69,11.59,69.67,0.52,73.33,14.33,13.17,0.05,0.49,0.0,0.0,0.0,0.0,0.35000000000000003,1.11,59.38,0.87,48.0,0.03,0.0,0.56,0.21,0.97,67.86,73.12,3.24,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.21,0.0,0.0,0.0,0.0,2,50.0
