Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Madubuegwu,Chidiebere Romanus Madubuegwu,-723130,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,"LCB, LCB3",LCB,87,LCB3,12,,0,25.0,2000-08-20,0,,17,1629,0,0.0,0,0.11,11.77,63.85,Nigeria,['Nigeria'],unknown,0,0,False,9.23,5.75,75.96,3.65,59.09,0.0,0.0,0.8300000000000001,4.86,6.1,0.39,1,0.06,0,0.0,0.33,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.61,45.45,0.5,55.56,0.11,0.0,0.11,0.11,50.0,0.77,21.43,0.44,0.33,0.0,16.13,0.22,0.11,31.88,75.91,18.12,67.99,3.09,94.64,22.43,87.19,8.9,49.69,24.29,37.36,0.01,0.17,0.0,0.0,0.0,0.0,0.06,5.19,56.38,0.9400000000000001,29.41,0.44,37.5,0.33,0.17,8.9,61.49,88.61,8.73,0,,0,,0,0.0,0.0,0.0,,,2.15,,3.65,0.17,0.0,0.0,0.0,0,0
M. Šulla,Michal Šulla,103211,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,GK,GK,100,,0,,0,34.0,1991-07-15,75000,,17,1629,0,0.0,0,0.05,0.77,100.0,Slovakia,['Slovakia'],right,188,86,False,1.33,0.06,100.0,0.55,100.0,0.0,0.0,0.0,1.27,1.5899999999999999,0.0,3,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,6.63,0.06,0.33,14.97,84.5,10.5,78.95,0.0,0.0,6.85,97.58,8.12,73.47,40.21,52.8,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.15,66.67,0.11,50.0,0.0,0.0,0.0,0.0,6.35,92.17,100.0,4.25,22,1.22,86,4.75,4,74.42,21.11,1.17,-0.89,-0.049,0.0,1.6600000000000001,0.55,,,,0.0,0,0
L. Remeň,Lukáš Remeň,332931,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,"RCB, RCB3",RCB,81,RCB3,12,,0,32.0,1993-07-19,0,,17,1621,2,2.89,1,0.18,14.27,65.37,Slovakia,['Slovakia'],,187,79,False,7.61,6.33,68.42,5.5,63.64,0.33,0.42,0.72,2.94,3.7,1.05,4,0.22,0,0.0,0.39,0.11,2,0.11,0.16,1,0.06,13,0.72,46.15,15.385,0.06,0.11,50.0,0.06,100.0,0.06,0.0,0.0,0.11,0.0,0.78,57.14,1.33,1.0,0.06,10.66,0.39,0.56,20.21,75.82,11.33,64.22,1.11,95.0,15.16,87.91,4.94,39.33,22.66,35.43,0.01,0.17,0.0,0.0,0.0,0.0,0.0,3.66,51.52,0.67,16.67,0.28,20.0,0.28,0.06,5.05,59.34,90.18,6.22,0,,0,,0,0.0,0.0,0.0,,,0.78,,5.5,0.0,0.0,0.0,0.0,0,0
Lukas Domanisky,Lukas Domaniský,-420423,Pohronie,Pohronie,https://cdn5.wyscout.com/photos/team/public/g22502_120x120.png,2. liga,GK,GK,100,,0,,0,21.0,2004-08-09,0,2026-06-30,17,1619,0,0.0,0,0.0,1.0,94.44,Slovakia,['Slovakia'],unknown,0,0,False,2.45,0.06,100.0,0.61,90.91,0.0,0.0,0.0,2.39,3.79,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.17,100.0,0.0,0.0,0.0,19.73,0.67,0.28,31.96,86.96,17.23,78.39,0.0,0.0,22.63,97.05,9.34,62.5,26.38,44.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,35.14,0.06,100.0,0.11,0.0,0.0,0.0,6.5600000000000005,65.25,96.8,12.17,20,1.11,74,4.11,5,72.97,16.7,0.93,-3.3,-0.183,0.0,1.67,0.61,,,,0.0,0,0
J. Špyrka,Jozef Špyrka,470104,Pohronie,Pohronie,https://cdn5.wyscout.com/photos/team/public/g22502_120x120.png,2. liga,"AMF, CF",AMF,44,CF,12,,0,26.0,1999-05-30,225000,2026-06-30,17,1619,9,7.18,4,5.35,14.06,44.27,Slovakia,['Slovakia'],right,180,69,False,4.22,3.2800000000000002,59.32,1.78,46.88,0.0,0.0,0.28,2.2800000000000002,3.62,1.22,4,0.22,0,0.0,2.67,0.5,5,0.28,0.4,0,0.0,43,2.39,46.51,20.93,0.22,1.11,50.0,0.5,44.44,0.61,54.55,0.28,1.6099999999999999,55.17,6.67,36.67,2.22,1.0,0.06,23.85,0.78,0.8300000000000001,34.02,81.54,9.62,69.36,6.5600000000000005,94.92,30.69,84.24,2.22,60.0,16.52,31.69,0.30000000000000004,2.2800000000000002,0.17,0.0,0.17,66.67,0.33,5.06,82.42,2.2800000000000002,51.22,0.39,42.86,0.9500000000000001,0.44,4.5,77.78,83.5,11.45,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.78,1.83,0.28,40.0,5.61,4,100
A. Urban,Alexandr Urban,-127951,Stará Ľubovňa,Stará Ľubovňa,https://cdn5.wyscout.com/photos/team/public/g8627_120x120.png,2. liga,GK,GK,100,,0,,0,21.0,2004-04-20,0,2027-06-30,17,1618,0,0.03,0,0.0,0.9500000000000001,76.47,Czech Republic,['Czech Republic'],,193,78,True,1.67,0.0,0.0,0.39,100.0,0.0,0.0,0.0,1.67,2.1,0.06,4,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.28,80.0,0.06,0.0,0.0,14.02,0.28,0.28,24.14,76.73,15.57,66.07,0.06,100.0,13.07,93.62,11.07,56.78,36.15,51.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,40.48,0.33,16.67,0.33,50.0,0.06,0.0,8.18,72.11,97.1,7.68,24,1.33,91,5.06,5,73.63,28.56,1.5899999999999999,4.5600000000000005,0.254,0.0,1.56,0.39,,,,0.0,0,0
S. Vavrúš,Samuel Vavrúš,387237,Púchov,Púchov,https://cdn5.wyscout.com/photos/team/public/g1980_120x120.png,2. liga,GK,GK,100,,0,,0,27.0,1998-04-13,150000,,17,1616,0,0.0,0,0.17,0.72,92.31,Slovakia,['Slovakia'],,185,83,False,2.39,0.06,100.0,0.61,90.91,0.0,0.0,0.0,2.34,3.18,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,21.66,0.5,0.17,31.86,83.92,17.15,73.7,0.06,100.0,19.99,98.05,11.86,60.09,35.1,52.76,0.01,0.06,0.0,0.0,0.0,0.0,0.0,5.9,53.77,0.61,27.27,0.22,25.0,0.11,0.0,8.08,81.38,95.74,14.37,33,1.8399999999999999,96,5.35,3,65.63,31.08,1.73,-1.92,-0.107,0.0,1.5,0.61,,,,0.0,0,0
M. Slouk,Matěj Slouk,-296418,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,"RCB, LCB",RCB,78,LCB,11,,0,21.0,2004-06-21,0,,17,1614,0,0.79,0,0.01,12.88,56.28,Czech Republic,['Czech Republic'],unknown,0,0,True,8.81,5.07,67.03,4.63,51.81,0.0,0.0,0.56,5.41,7.28,1.17,3,0.17,0,0.0,0.11,0.0,0,0.0,0.04,0,0.0,6,0.33,16.67,0.0,0.0,0.39,14.29,0.06,0.0,0.33,16.67,0.11,0.0,0.0,0.9500000000000001,41.18,0.84,0.89,0.0,26.38,0.9500000000000001,0.5,41.99,82.2,19.01,69.79,2.84,100.0,32.84,90.83,8.75,52.87,24.63,40.51,0.0,0.06,0.0,0.0,0.0,0.0,0.0,7.19,63.57,0.9500000000000001,35.29,0.56,50.0,0.45,0.11,9.42,69.23,93.69,17.68,0,,0,,0,0.0,0.0,0.0,,,2.23,,4.63,0.0,0.0,0.0,0.0,0,0
D. Kucharčík,Dušan Kucharčík,154525,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,LCB,LCB,96,,0,,0,31.0,1994-04-28,125000,,17,1606,1,1.98,1,0.36,16.36,60.96,Slovakia,['Slovakia'],,0,0,False,9.08,4.82,62.79,8.41,64.0,0.5,0.6000000000000001,0.45,5.55,6.5600000000000005,0.78,4,0.22,0,0.0,0.45,0.06,1,0.06,0.11,0,0.0,23,1.29,21.74,4.348,0.06,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.22,75.0,1.18,61.9,1.23,0.22,0.0,15.75,0.28,0.34,28.02,74.0,16.48,66.33,1.9100000000000001,91.18,19.22,82.51,8.69,56.13,25.35,41.78,0.02,0.22,0.0,0.06,0.0,0.0,0.06,7.57,55.56,1.46,34.62,0.9,37.5,0.62,0.0,9.02,74.53,89.31,7.34,0,,0,,0,0.0,0.0,0.0,,,1.51,,8.41,0.17,0.11,0.0,0.0,0,0
M. Čurik,Maroš Čurik,353543,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,RB,RB,95,,0,,0,28.0,1997-08-23,100000,,17,1606,0,0.85,0,1.18,18.83,54.76,Slovakia,['Slovakia'],left,0,0,False,9.98,8.18,63.01,2.69,50.0,0.34,0.4,0.17,4.48,5.3,1.29,4,0.22,0,0.0,3.08,0.0,0,0.0,0.05,0,0.0,23,1.29,30.43,0.0,0.0,3.64,35.38,0.0,0.0,3.64,35.38,0.62,1.96,71.43,5.1,51.65,0.73,0.73,0.11,14.4,0.62,0.73,28.3,64.95,14.68,61.45,3.92,85.71,18.94,75.74,6.0,48.6,23.2,38.74,0.07,0.56,0.0,0.0,0.0,0.0,0.22,5.94,61.32,3.19,40.35,0.22,0.0,0.22,1.23,8.91,63.52,61.06,6.33,0,,0,,0,0.0,0.0,0.0,,,1.01,,2.69,0.11,0.0,0.0,0.0,0,0
