,Unnamed: 0,matchInfo/id,matchInfo/coverageLevel,matchInfo/date,matchInfo/time,matchInfo/localDate,matchInfo/localTime,matchInfo/week,matchInfo/numberOfPeriods,matchInfo/periodLength,matchInfo/lastUpdated,matchInfo/description,matchInfo/sport/id,matchInfo/sport/name,matchInfo/ruleset/id,matchInfo/ruleset/name,matchInfo/competition/id,matchInfo/competition/name,matchInfo/competition/knownName,matchInfo/competition/competitionCode,matchInfo/competition/competitionFormat,matchInfo/competition/country/id,matchInfo/competition/country/name,matchInfo/tournamentCalendar/id,matchInfo/tournamentCalendar/startDate,matchInfo/tournamentCalendar/endDate,matchInfo/tournamentCalendar/name,matchInfo/stage/id,matchInfo/stage/formatId,matchInfo/stage/startDate,matchInfo/stage/endDate,matchInfo/stage/name,matchInfo/venue/id,matchInfo/venue/neutral,matchInfo/venue/longName,matchInfo/venue/shortName,matchInfo/contestant/0/id,matchInfo/contestant/0/name,matchInfo/contestant/0/shortName,matchInfo/contestant/0/officialName,matchInfo/contestant/0/code,matchInfo/contestant/0/position,matchInfo/contestant/0/country/id,matchInfo/contestant/0/country/name,matchInfo/contestant/1/id,matchInfo/contestant/1/name,matchInfo/contestant/1/shortName,matchInfo/contestant/1/officialName,matchInfo/contestant/1/code,matchInfo/contestant/1/position,matchInfo/contestant/1/country/id,matchInfo/contestant/1/country/name,liveData/matchDetails/periodId,liveData/matchDetails/matchStatus,liveData/matchDetails/winner,liveData/matchDetails/matchLengthMin,liveData/matchDetails/matchLengthSec,liveData/matchDetails/scores/ht/home,liveData/matchDetails/scores/ht/away,liveData/matchDetails/scores/ft/home,liveData/matchDetails/scores/ft/away,liveData/matchDetails/scores/total/home,liveData/matchDetails/scores/total/away,liveData/missedPen,liveData/matchDetailsExtra/attendance,liveData/VAR
0,0,5xfbxd8odoxl9ux4ycq3v3u38,13,2025-05-23Z,17:00:00Z,2025-05-23,19:00:00,10,2,45,2025-05-15T16:22:52Z,OB vs Esbjerg,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,35km64oao8924f7vhpo7hywic,8etth6t2th2yzwnj4p0c2kn9x,2025-03-29Z,2025-05-23Z,Promotion Round,7mq69snwy4vs0vmurkpae2vz,no,Nature Energy Park,Nature Energy Park,dbl7ir1qugqz8nvp1vzn8im50,OB,OB,Odense Boldklub,OB,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,Esbjerg,Esbjerg fB,EFB,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,16,Fixture,,,,,,,,,,,,
1,1,5x21kbj1srr5rrvmnx5znlixg,13,2025-05-23Z,17:00:00Z,2025-05-23,19:00:00,10,2,45,2025-04-26T12:26:41Z,Hvidovre vs Horsens,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,35km64oao8924f7vhpo7hywic,8etth6t2th2yzwnj4p0c2kn9x,2025-03-29Z,2025-05-23Z,Promotion Round,2iypf8b9n3h73nidva1157o9p,no,Pro Ventilation Arena,Pro Ventilation Arena,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,Hvidovre,Hvidovre IF,HVI,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,a9vw7ikerpr4cuweeeka5aneg,Horsens,Horsens,AC Horsens,ACH,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,16,Fixture,,,,,,,,,,,,
2,2,5wommhxofnxx8zdy6rp6t4qvo,13,2025-05-23Z,17:00:00Z,2025-05-23,19:00:00,10,2,45,2025-03-21T09:01:40Z,Fredericia vs Kolding,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,35km64oao8924f7vhpo7hywic,8etth6t2th2yzwnj4p0c2kn9x,2025-03-29Z,2025-05-23Z,Promotion Round,1z4bhmfrjf354e754hlesjh6x,no,Monjasa Park,Monjasa Park,6wwwud48qahpwrfxs20334qk5,Fredericia,Fredericia,FC Fredericia,FRE,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,Kolding,Kolding IF,KIF,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,16,Fixture,,,,,,,,,,,,
3,3,4clj9v8wfc105gwxc1f25h2xg,13,2025-05-22Z,17:00:00Z,2025-05-22,19:00:00,10,2,45,2025-05-09T16:29:13Z,Hobro vs HB Køge,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,36gn6zlfzdlekhpz37exph990,ez2c68hjfw70wvau9svn16g9h,2025-03-28Z,2025-05-22Z,Relegation Round,e75f8fabfxd7zbu2kfb48cx5b,no,DS Arena,DS Arena,b2vft81kyjurzbmekvgrqwr64,Hobro,Hobro,Hobro IK,HIK,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,HB Køge,HB Køge,HBK,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,16,Fixture,,,,,,,,,,,,
4,4,4c8qe2j8ikk752z7ipzxz09as,13,2025-05-22Z,17:00:00Z,2025-05-22,19:00:00,10,2,45,2025-05-05T03:06:53Z,B 93 vs Roskilde,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,36gn6zlfzdlekhpz37exph990,ez2c68hjfw70wvau9svn16g9h,2025-03-28Z,2025-05-22Z,Relegation Round,cju4mgd1yaw76ufi1igizb5wj,no,Sundby Idrætspark,Sundby Idrætspark,ajtb177oqwawkdwbqhldmq6mx,B 93,B 93,Boldklubben af 1893,B93,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,bd4qakf7j0wwie8wke9km7uj8,Roskilde,Roskilde,FC Roskilde,ROS,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,16,Fixture,,,,,,,,,,,,
5,5,4bvv6m428jfg51flueobkcums,13,2025-05-22Z,17:00:00Z,2025-05-22,19:00:00,10,2,45,2025-05-10T11:31:18Z,Hillerød vs Vendsyssel,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,36gn6zlfzdlekhpz37exph990,ez2c68hjfw70wvau9svn16g9h,2025-03-28Z,2025-05-22Z,Relegation Round,9erafax6g58t7mssqkwmxv734,no,Right to Dream Park,Right to Dream Park,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,Hillerød,Hillerød Fodbold,HIL,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,Vendsyssel,Vendsyssel FF,VFN,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,16,Fixture,,,,,,,,,,,,
6,6,5vy13geyvcf7auq9z2z2bmbdg,13,2025-05-17Z,12:00:00Z,2025-05-17,14:00:00,9,2,45,2025-05-17T18:17:07Z,Kolding vs OB,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,35km64oao8924f7vhpo7hywic,8etth6t2th2yzwnj4p0c2kn9x,2025-03-29Z,2025-05-23Z,Promotion Round,4tjh9d0ks4vsosadk92ye8m1b,no,Autocentralen Park,Autocentralen Park,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,Kolding,Kolding IF,KIF,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,dbl7ir1qugqz8nvp1vzn8im50,OB,OB,Odense Boldklub,OB,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,14,Played,draw,97.0,38.0,0.0,0.0,1.0,1.0,1.0,1.0,,,
7,7,5vkr5w0w12c786tf219vmmuj8,13,2025-05-17Z,12:00:00Z,2025-05-17,14:00:00,9,2,45,2025-05-17T18:04:00Z,Horsens vs Fredericia,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,35km64oao8924f7vhpo7hywic,8etth6t2th2yzwnj4p0c2kn9x,2025-03-29Z,2025-05-23Z,Promotion Round,db6ooyw998ggaa5aku3asfc4o,no,Nordstern Arena Horsens,Nordstern Arena Horsens,a9vw7ikerpr4cuweeeka5aneg,Horsens,Horsens,AC Horsens,ACH,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,6wwwud48qahpwrfxs20334qk5,Fredericia,Fredericia,FC Fredericia,FRE,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,14,Played,away,94.0,27.0,0.0,0.0,0.0,3.0,0.0,3.0,"[{'contestantId': 'a9vw7ikerpr4cuweeeka5aneg', 'periodId': 1, 'timeMin': 32, 'timeMinSec': '31:38', 'lastUpdated': '2025-05-17T12:59:58Z', 'timestamp': '2025-05-17T12:33:07Z', 'type': 'PM', 'playerId': '6k7khwtkxpem9z17bl5rrf2p6', 'playerName': 'E. Frederiksen', 'optaEventId': '2815659035'}]",,
8,8,4bj6xp8om59sc99vx4bbg9st0,13,2025-05-16Z,17:00:00Z,2025-05-16,19:00:00,9,2,45,2025-05-16T21:16:15Z,Roskilde vs Hillerød,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,36gn6zlfzdlekhpz37exph990,ez2c68hjfw70wvau9svn16g9h,2025-03-28Z,2025-05-22Z,Relegation Round,dwd4cajhkpb7kukli0ft61rlf,no,Roskilde Idrætspark,Roskilde Idrætspark,bd4qakf7j0wwie8wke9km7uj8,Roskilde,Roskilde,FC Roskilde,ROS,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,Hillerød,Hillerød Fodbold,HIL,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,14,Played,home,95.0,7.0,1.0,1.0,4.0,2.0,4.0,2.0,,,
9,9,4b67g2fxajplf08tvbcvs85jo,13,2025-05-16Z,17:00:00Z,2025-05-16,19:00:00,9,2,45,2025-05-16T18:52:12Z,HB Køge vs B 93,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,6ifaeunfdelecgticvxanikzu,1. Division,Danish 1. Division,1DV,Domestic league,5adf60vwiw2f2mibyq1k4ex7i,Denmark,351g9crny6x5a4uxcc90s2904,2024-07-19Z,2025-05-23Z,2024/2025,36gn6zlfzdlekhpz37exph990,ez2c68hjfw70wvau9svn16g9h,2025-03-28Z,2025-05-22Z,Relegation Round,3lfsrl2mfvj6mjg7b1wlb0tk7,no,Capelli Sport Stadion,Capelli Sport Stadion,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,HB Køge,HB Køge,HBK,home,5adf60vwiw2f2mibyq1k4ex7i,Denmark,ajtb177oqwawkdwbqhldmq6mx,B 93,B 93,Boldklubben af 1893,B93,away,5adf60vwiw2f2mibyq1k4ex7i,Denmark,14,Played,home,98.0,16.0,1.0,1.0,2.0,1.0,2.0,1.0,,,
